Particle index 0, connected to particle index 21, rest length: 0.707107
Particle index 1, connected to particle index 20, rest length: 0.707107
Particle index 1, connected to particle index 22, rest length: 0.707107
Particle index 2, connected to particle index 21, rest length: 0.707107
Particle index 2, connected to particle index 23, rest length: 0.707107
Particle index 3, connected to particle index 22, rest length: 0.707107
Particle index 3, connected to particle index 24, rest length: 0.707107
Particle index 4, connected to particle index 23, rest length: 0.707107
Particle index 4, connected to particle index 25, rest length: 0.707107
Particle index 5, connected to particle index 24, rest length: 0.707107
Particle index 5, connected to particle index 26, rest length: 0.707107
Particle index 6, connected to particle index 25, rest length: 0.707107
Particle index 6, connected to particle index 27, rest length: 0.707107
Particle index 7, connected to particle index 26, rest length: 0.707107
Particle index 7, connected to particle index 28, rest length: 0.707107
Particle index 8, connected to particle index 27, rest length: 0.707107
Particle index 8, connected to particle index 29, rest length: 0.707107
Particle index 9, connected to particle index 28, rest length: 0.707107
Particle index 9, connected to particle index 30, rest length: 0.707107
Particle index 10, connected to particle index 29, rest length: 0.707107
Particle index 10, connected to particle index 31, rest length: 0.707107
Particle index 11, connected to particle index 30, rest length: 0.707107
Particle index 11, connected to particle index 32, rest length: 0.707107
Particle index 12, connected to particle index 31, rest length: 0.707107
Particle index 12, connected to particle index 33, rest length: 0.707107
Particle index 13, connected to particle index 32, rest length: 0.707107
Particle index 13, connected to particle index 34, rest length: 0.707107
Particle index 14, connected to particle index 33, rest length: 0.707107
Particle index 14, connected to particle index 35, rest length: 0.707107
Particle index 15, connected to particle index 34, rest length: 0.707107
Particle index 15, connected to particle index 36, rest length: 0.707107
Particle index 16, connected to particle index 35, rest length: 0.707107
Particle index 16, connected to particle index 37, rest length: 0.707107
Particle index 17, connected to particle index 36, rest length: 0.707107
Particle index 17, connected to particle index 38, rest length: 0.707107
Particle index 18, connected to particle index 37, rest length: 0.707107
Particle index 18, connected to particle index 39, rest length: 0.707107
Particle index 19, connected to particle index 38, rest length: 0.707107
Particle index 20, connected to particle index 41, rest length: 0.707107
Particle index 21, connected to particle index 40, rest length: 0.707107
Particle index 21, connected to particle index 42, rest length: 0.707107
Particle index 22, connected to particle index 41, rest length: 0.707107
Particle index 22, connected to particle index 43, rest length: 0.707107
Particle index 23, connected to particle index 42, rest length: 0.707107
Particle index 23, connected to particle index 44, rest length: 0.707107
Particle index 24, connected to particle index 43, rest length: 0.707107
Particle index 24, connected to particle index 45, rest length: 0.707107
Particle index 25, connected to particle index 44, rest length: 0.707107
Particle index 25, connected to particle index 46, rest length: 0.707107
Particle index 26, connected to particle index 45, rest length: 0.707107
Particle index 26, connected to particle index 47, rest length: 0.707107
Particle index 27, connected to particle index 46, rest length: 0.707107
Particle index 27, connected to particle index 48, rest length: 0.707107
Particle index 28, connected to particle index 47, rest length: 0.707107
Particle index 28, connected to particle index 49, rest length: 0.707107
Particle index 29, connected to particle index 48, rest length: 0.707107
Particle index 29, connected to particle index 50, rest length: 0.707107
Particle index 30, connected to particle index 49, rest length: 0.707107
Particle index 30, connected to particle index 51, rest length: 0.707107
Particle index 31, connected to particle index 50, rest length: 0.707107
Particle index 31, connected to particle index 52, rest length: 0.707107
Particle index 32, connected to particle index 51, rest length: 0.707107
Particle index 32, connected to particle index 53, rest length: 0.707107
Particle index 33, connected to particle index 52, rest length: 0.707107
Particle index 33, connected to particle index 54, rest length: 0.707107
Particle index 34, connected to particle index 53, rest length: 0.707107
Particle index 34, connected to particle index 55, rest length: 0.707107
Particle index 35, connected to particle index 54, rest length: 0.707107
Particle index 35, connected to particle index 56, rest length: 0.707107
Particle index 36, connected to particle index 55, rest length: 0.707107
Particle index 36, connected to particle index 57, rest length: 0.707107
Particle index 37, connected to particle index 56, rest length: 0.707107
Particle index 37, connected to particle index 58, rest length: 0.707107
Particle index 38, connected to particle index 57, rest length: 0.707107
Particle index 38, connected to particle index 59, rest length: 0.707107
Particle index 39, connected to particle index 58, rest length: 0.707107
Particle index 40, connected to particle index 61, rest length: 0.707107
Particle index 41, connected to particle index 60, rest length: 0.707107
Particle index 41, connected to particle index 62, rest length: 0.707107
Particle index 42, connected to particle index 61, rest length: 0.707107
Particle index 42, connected to particle index 63, rest length: 0.707107
Particle index 43, connected to particle index 62, rest length: 0.707107
Particle index 43, connected to particle index 64, rest length: 0.707107
Particle index 44, connected to particle index 63, rest length: 0.707107
Particle index 44, connected to particle index 65, rest length: 0.707107
Particle index 45, connected to particle index 64, rest length: 0.707107
Particle index 45, connected to particle index 66, rest length: 0.707107
Particle index 46, connected to particle index 65, rest length: 0.707107
Particle index 46, connected to particle index 67, rest length: 0.707107
Particle index 47, connected to particle index 66, rest length: 0.707107
Particle index 47, connected to particle index 68, rest length: 0.707107
Particle index 48, connected to particle index 67, rest length: 0.707107
Particle index 48, connected to particle index 69, rest length: 0.707107
Particle index 49, connected to particle index 68, rest length: 0.707107
Particle index 49, connected to particle index 70, rest length: 0.707107
Particle index 50, connected to particle index 69, rest length: 0.707107
Particle index 50, connected to particle index 71, rest length: 0.707107
Particle index 51, connected to particle index 70, rest length: 0.707107
Particle index 51, connected to particle index 72, rest length: 0.707107
Particle index 52, connected to particle index 71, rest length: 0.707107
Particle index 52, connected to particle index 73, rest length: 0.707107
Particle index 53, connected to particle index 72, rest length: 0.707107
Particle index 53, connected to particle index 74, rest length: 0.707107
Particle index 54, connected to particle index 73, rest length: 0.707107
Particle index 54, connected to particle index 75, rest length: 0.707107
Particle index 55, connected to particle index 74, rest length: 0.707107
Particle index 55, connected to particle index 76, rest length: 0.707107
Particle index 56, connected to particle index 75, rest length: 0.707107
Particle index 56, connected to particle index 77, rest length: 0.707107
Particle index 57, connected to particle index 76, rest length: 0.707107
Particle index 57, connected to particle index 78, rest length: 0.707107
Particle index 58, connected to particle index 77, rest length: 0.707107
Particle index 58, connected to particle index 79, rest length: 0.707107
Particle index 59, connected to particle index 78, rest length: 0.707107
Particle index 60, connected to particle index 81, rest length: 0.707107
Particle index 61, connected to particle index 80, rest length: 0.707107
Particle index 61, connected to particle index 82, rest length: 0.707107
Particle index 62, connected to particle index 81, rest length: 0.707107
Particle index 62, connected to particle index 83, rest length: 0.707107
Particle index 63, connected to particle index 82, rest length: 0.707107
Particle index 63, connected to particle index 84, rest length: 0.707107
Particle index 64, connected to particle index 83, rest length: 0.707107
Particle index 64, connected to particle index 85, rest length: 0.707107
Particle index 65, connected to particle index 84, rest length: 0.707107
Particle index 65, connected to particle index 86, rest length: 0.707107
Particle index 66, connected to particle index 85, rest length: 0.707107
Particle index 66, connected to particle index 87, rest length: 0.707107
Particle index 67, connected to particle index 86, rest length: 0.707107
Particle index 67, connected to particle index 88, rest length: 0.707107
Particle index 68, connected to particle index 87, rest length: 0.707107
Particle index 68, connected to particle index 89, rest length: 0.707107
Particle index 69, connected to particle index 88, rest length: 0.707107
Particle index 69, connected to particle index 90, rest length: 0.707107
Particle index 70, connected to particle index 89, rest length: 0.707107
Particle index 70, connected to particle index 91, rest length: 0.707107
Particle index 71, connected to particle index 90, rest length: 0.707107
Particle index 71, connected to particle index 92, rest length: 0.707107
Particle index 72, connected to particle index 91, rest length: 0.707107
Particle index 72, connected to particle index 93, rest length: 0.707107
Particle index 73, connected to particle index 92, rest length: 0.707107
Particle index 73, connected to particle index 94, rest length: 0.707107
Particle index 74, connected to particle index 93, rest length: 0.707107
Particle index 74, connected to particle index 95, rest length: 0.707107
Particle index 75, connected to particle index 94, rest length: 0.707107
Particle index 75, connected to particle index 96, rest length: 0.707107
Particle index 76, connected to particle index 95, rest length: 0.707107
Particle index 76, connected to particle index 97, rest length: 0.707107
Particle index 77, connected to particle index 96, rest length: 0.707107
Particle index 77, connected to particle index 98, rest length: 0.707107
Particle index 78, connected to particle index 97, rest length: 0.707107
Particle index 78, connected to particle index 99, rest length: 0.707107
Particle index 79, connected to particle index 98, rest length: 0.707107
Particle index 80, connected to particle index 101, rest length: 0.707107
Particle index 81, connected to particle index 100, rest length: 0.707107
Particle index 81, connected to particle index 102, rest length: 0.707107
Particle index 82, connected to particle index 101, rest length: 0.707107
Particle index 82, connected to particle index 103, rest length: 0.707107
Particle index 83, connected to particle index 102, rest length: 0.707107
Particle index 83, connected to particle index 104, rest length: 0.707107
Particle index 84, connected to particle index 103, rest length: 0.707107
Particle index 84, connected to particle index 105, rest length: 0.707107
Particle index 85, connected to particle index 104, rest length: 0.707107
Particle index 85, connected to particle index 106, rest length: 0.707107
Particle index 86, connected to particle index 105, rest length: 0.707107
Particle index 86, connected to particle index 107, rest length: 0.707107
Particle index 87, connected to particle index 106, rest length: 0.707107
Particle index 87, connected to particle index 108, rest length: 0.707107
Particle index 88, connected to particle index 107, rest length: 0.707107
Particle index 88, connected to particle index 109, rest length: 0.707107
Particle index 89, connected to particle index 108, rest length: 0.707107
Particle index 89, connected to particle index 110, rest length: 0.707107
Particle index 90, connected to particle index 109, rest length: 0.707107
Particle index 90, connected to particle index 111, rest length: 0.707107
Particle index 91, connected to particle index 110, rest length: 0.707107
Particle index 91, connected to particle index 112, rest length: 0.707107
Particle index 92, connected to particle index 111, rest length: 0.707107
Particle index 92, connected to particle index 113, rest length: 0.707107
Particle index 93, connected to particle index 112, rest length: 0.707107
Particle index 93, connected to particle index 114, rest length: 0.707107
Particle index 94, connected to particle index 113, rest length: 0.707107
Particle index 94, connected to particle index 115, rest length: 0.707107
Particle index 95, connected to particle index 114, rest length: 0.707107
Particle index 95, connected to particle index 116, rest length: 0.707107
Particle index 96, connected to particle index 115, rest length: 0.707107
Particle index 96, connected to particle index 117, rest length: 0.707107
Particle index 97, connected to particle index 116, rest length: 0.707107
Particle index 97, connected to particle index 118, rest length: 0.707107
Particle index 98, connected to particle index 117, rest length: 0.707107
Particle index 98, connected to particle index 119, rest length: 0.707107
Particle index 99, connected to particle index 118, rest length: 0.707107
Particle index 100, connected to particle index 121, rest length: 0.707107
Particle index 101, connected to particle index 120, rest length: 0.707107
Particle index 101, connected to particle index 122, rest length: 0.707107
Particle index 102, connected to particle index 121, rest length: 0.707107
Particle index 102, connected to particle index 123, rest length: 0.707107
Particle index 103, connected to particle index 122, rest length: 0.707107
Particle index 103, connected to particle index 124, rest length: 0.707107
Particle index 104, connected to particle index 123, rest length: 0.707107
Particle index 104, connected to particle index 125, rest length: 0.707107
Particle index 105, connected to particle index 124, rest length: 0.707107
Particle index 105, connected to particle index 126, rest length: 0.707107
Particle index 106, connected to particle index 125, rest length: 0.707107
Particle index 106, connected to particle index 127, rest length: 0.707107
Particle index 107, connected to particle index 126, rest length: 0.707107
Particle index 107, connected to particle index 128, rest length: 0.707107
Particle index 108, connected to particle index 127, rest length: 0.707107
Particle index 108, connected to particle index 129, rest length: 0.707107
Particle index 109, connected to particle index 128, rest length: 0.707107
Particle index 109, connected to particle index 130, rest length: 0.707107
Particle index 110, connected to particle index 129, rest length: 0.707107
Particle index 110, connected to particle index 131, rest length: 0.707107
Particle index 111, connected to particle index 130, rest length: 0.707107
Particle index 111, connected to particle index 132, rest length: 0.707107
Particle index 112, connected to particle index 131, rest length: 0.707107
Particle index 112, connected to particle index 133, rest length: 0.707107
Particle index 113, connected to particle index 132, rest length: 0.707107
Particle index 113, connected to particle index 134, rest length: 0.707107
Particle index 114, connected to particle index 133, rest length: 0.707107
Particle index 114, connected to particle index 135, rest length: 0.707107
Particle index 115, connected to particle index 134, rest length: 0.707107
Particle index 115, connected to particle index 136, rest length: 0.707107
Particle index 116, connected to particle index 135, rest length: 0.707107
Particle index 116, connected to particle index 137, rest length: 0.707107
Particle index 117, connected to particle index 136, rest length: 0.707107
Particle index 117, connected to particle index 138, rest length: 0.707107
Particle index 118, connected to particle index 137, rest length: 0.707107
Particle index 118, connected to particle index 139, rest length: 0.707107
Particle index 119, connected to particle index 138, rest length: 0.707107
Particle index 120, connected to particle index 141, rest length: 0.707107
Particle index 121, connected to particle index 140, rest length: 0.707107
Particle index 121, connected to particle index 142, rest length: 0.707107
Particle index 122, connected to particle index 141, rest length: 0.707107
Particle index 122, connected to particle index 143, rest length: 0.707107
